Source,Target,Type,Weight
3182,1242,Undirected,10
3182,4903,Undirected,8
3182,4960,Undirected,5
3182,227,Undirected,5
3182,218,Undirected,5
3182,1398,Undirected,5
3182,3500,Undirected,5
3182,1185,Undirected,5
3182,268,Undirected,4
3182,510,Undirected,4
3182,26,Undirected,4
3182,5541,Undirected,4
3182,6386,Undirected,4
3182,138,Undirected,4
3182,1087,Undirected,4
5340,2546,Undirected,104
5340,2935,Undirected,54
5340,2632,Undirected,34
5340,2249,Undirected,27
5340,3941,Undirected,11
5340,5638,Undirected,10
5340,1635,Undirected,7
5340,4621,Undirected,5
5340,4077,Undirected,5
5340,508,Undirected,5
5340,1794,Undirected,5
5340,5063,Undirected,4
5340,6441,Undirected,4
5340,2569,Undirected,4
5340,3909,Undirected,4
5340,257,Undirected,4
5340,1646,Undirected,4
5340,5865,Undirected,4
5340,953,Undirected,3
5340,2182,Undirected,3
3734,3909,Undirected,55
3734,2168,Undirected,15
3734,494,Undirected,13
3734,2821,Undirected,10
3734,5735,Undirected,10
3734,2569,Undirected,8
3734,4437,Undirected,6
3734,3153,Undirected,6
3734,1232,Undirected,6
3734,664,Undirected,6
3734,4256,Undirected,6
3734,5832,Undirected,5
3734,1332,Undirected,5
3734,5329,Undirected,5
3734,4140,Undirected,5
3734,461,Undirected,5
3734,1682,Undirected,5
3734,1563,Undirected,5
3734,5306,Undirected,5
3734,2786,Undirected,5
4255,2966,Undirected,89
4255,2496,Undirected,13
4255,5674,Undirected,6
4255,6460,Undirected,6
4255,5219,Undirected,5
4255,3529,Undirected,5
4255,3565,Undirected,5
4255,2862,Undirected,4
4255,5300,Undirected,4
4255,1819,Undirected,4
4255,6441,Undirected,4
4255,3468,Undirected,4
4255,233,Undirected,3
4255,4792,Undirected,3
4255,4077,Undirected,3
4255,1825,Undirected,3
4255,5541,Undirected,3
4255,4387,Undirected,3
4255,517,Undirected,3
4255,5580,Undirected,3
1234,2029,Undirected,9
1234,5419,Undirected,8
1234,3500,Undirected,8
1234,3080,Undirected,7
1234,2136,Undirected,7
1234,4243,Undirected,7
1234,1897,Undirected,7
1234,5826,Undirected,6
1234,3909,Undirected,6
1234,5864,Undirected,6
1234,227,Undirected,6
1234,686,Undirected,6
1234,5211,Undirected,6
1234,3440,Undirected,6
1234,186,Undirected,6
1234,6448,Undirected,6
1234,5177,Undirected,5
1234,1103,Undirected,5
1234,1400,Undirected,5
1234,950,Undirected,5
1781,2109,Undirected,40
1781,2462,Undirected,15
1781,1141,Undirected,9
1781,839,Undirected,9
1781,663,Undirected,6
1781,1563,Undirected,5
1781,5965,Undirected,4
1781,794,Undirected,4
1781,2173,Undirected,4
1781,2168,Undirected,3
1781,2620,Undirected,3
1781,972,Undirected,3
1781,6441,Undirected,3
1781,747,Undirected,3
1781,1646,Undirected,3
1781,6482,Undirected,3
1781,661,Undirected,3
1781,384,Undirected,3
1781,2487,Undirected,3
1781,3071,Undirected,3
5419,4284,Undirected,22
5419,5878,Undirected,12
5419,4077,Undirected,11
5419,4817,Undirected,10
5419,3909,Undirected,9
5419,1138,Undirected,9
