id,map,result,playtime,roundsPlayed,roundsWon,roundsLost,roundsDisconnected,placement,score,kills,deaths,assists,damage,damageReceived,headshots,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,dealtLegshots,econRating,suicides,revived,firstBloods,firstDeaths,lastDeaths,survived,traded,kasted,kAST,flawless,thrifty,antiEco,totalThrifty,totalAntiEco,manAdvantage,manDisadvantage,aces,teamAces,clutches,clutchesLost,plants,defuses,kdRatio,scorePerRound,damagePerRound,headshotsPercentage,damageDelta,damageDeltaPerRound,rank,trnPerformanceScore,player
46bf3117-945e-497d-a4e4-5c76e5b4e877,/Game/Maps/Infinity/Infinity,defeat,2381,24,11,13,0,2,5627,18,18,3,3743,3151,13,21.0,9.0,27.0,3.0,16,28,1,64,0,0,3,3,2,6,3,,54.0,0,0,,,,,,1,0,,2.0,1,0,1.0,234.45833333333334,155.95833333333334,35.55555555555556,592,24.666666666666668,,511,finessed%23demon
23f75114-d7bb-44f7-ad50-5cb966fbd65b,/Game/Maps/Infinity/Infinity,defeat,2184,23,10,13,0,2,6226,24,16,2,3837,3548,9,23.0,5.0,18.0,4.0,10,39,1,78,0,0,4,2,2,7,1,,74.0,0,0,,,,,,0,1,1.0,3.0,1,2,1.5,270.69565217391306,166.82608695652175,20.0,289,12.565217391304348,,669,finessed%23demon
9b675aa8-cd5f-4891-b1e9-0a70a556f9bd,/Game/Maps/Jam/Jam,victory,1851,20,13,7,0,5,4736,16,16,4,3123,3111,11,3.0,16.0,13.0,3.0,14,26,1,62,0,1,3,3,3,4,5,,80.0,0,0,,,,,,1,0,,2.0,0,0,1.0,236.8,156.15,34.146341463414636,12,0.6,,734,finessed%23demon
124072fb-9a62-41ce-9b66-5c90395a2209,/Game/Maps/Duality/Duality,victory,1853,20,13,7,0,3,4952,17,12,3,3394,2189,8,4.0,22.0,16.0,2.0,10,50,8,78,0,0,2,1,2,8,2,,65.0,0,0,,,,,,0,0,1.0,2.0,0,1,1.4166666666666667,247.6,169.7,14.705882352941178,1205,60.25,,697,finessed%23demon
b8326983-89aa-463c-92dd-ece8536286f7,/Game/Maps/Duality/Duality,victory,2100,22,13,9,0,1,6672,25,16,1,4029,3036,16,10.0,21.0,17.0,3.0,16,49,3,74,0,1,5,2,3,6,3,,86.0,1,0,,,,,,0,0,1.0,3.0,2,0,1.5625,303.27272727272725,183.13636363636363,23.52941176470588,993,45.13636363636363,,919,finessed%23demon
1d1aea2b-d50c-4b8c-9d7d-817d3402e9ae,/Game/Maps/Pitt/Pitt,victory,2528,24,13,11,0,2,5695,21,15,5,3548,2974,16,8.0,18.0,24.0,2.0,19,45,1,60,0,0,3,4,2,9,4,,75.0,2,1,,,,,,0,2,,2.0,1,0,1.4,237.29166666666666,147.83333333333334,29.230769230769234,574,23.916666666666668,,699,finessed%23demon
708d4edf-85fd-4c2a-a784-ab2618f27fe4,/Game/Maps/Canyon/Canyon,victory,636,6,5,1,0,8,1058,4,2,1,1047,350,4,1.0,7.0,4.0,1.0,5,8,0,116,0,0,0,1,0,4,2,,100.0,0,0,,,,,,0,0,1.0,,2,0,2.0,176.33333333333334,174.5,38.46153846153847,697,116.16666666666667,,806,finessed%23demon
5637b56f-9d9c-430c-9879-99698f80317f,/Game/Maps/Triad/Triad,victory,2235,23,13,10,0,3,5016,18,15,0,3333,3189,14,19.0,11.0,26.0,3.0,14,13,4,64,0,1,3,2,3,8,3,,70.0,2,1,,,,,,0,0,,3.0,2,0,1.2,218.08695652173913,144.91304347826087,45.16129032258064,144,6.260869565217392,,605,finessed%23demon
d7c495de-81e3-4aa5-8bd7-8a578a09e123,/Game/Maps/Jam/Jam,victory,2220,23,13,10,0,1,8306,28,16,4,5633,3156,19,7.0,31.0,22.0,5.0,22,77,0,102,0,1,6,2,3,7,2,,78.0,1,0,,,,,,0,0,2.0,3.0,1,1,1.75,361.1304347826087,244.91304347826087,22.22222222222222,2477,107.69565217391305,,907,finessed%23demon
afd8a843-be95-449d-aec6-861d8148ddfb,/Game/Maps/Bonsai/Bonsai,defeat,2490,28,13,15,0,2,6963,24,19,3,4520,3851,19,6.0,25.0,19.0,3.0,20,57,3,61,0,1,2,2,1,9,1,,64.0,2,0,,,,,,0,0,1.0,1.0,1,0,1.263157894736842,248.67857142857142,161.42857142857142,25.0,669,23.892857142857142,,596,finessed%23demon
03a27450-9f2f-4c3c-8cda-36258fa2fce3,/Game/Maps/Canyon/Canyon,victory,1491,17,13,4,0,3,4484,16,10,7,2885,1966,10,4.0,11.0,17.0,1.0,10,30,5,77,0,1,3,3,0,7,3,,82.0,2,0,,,,,,0,0,1.0,,0,0,1.6,263.7647058823529,169.7058823529412,22.22222222222222,919,54.05882352941177,,870,finessed%23demon
596eea01-99cf-4443-9dff-23ef6b61efc2,/Game/Maps/Triad/Triad,defeat,1849,19,6,13,0,5,3965,14,20,4,2534,2948,10,4.0,5.0,43.0,3.0,12,21,2,60,1,1,1,1,3,2,4,,68.0,0,0,,,,,,0,0,,3.0,0,0,0.7,208.68421052631578,133.3684210526316,34.285714285714285,-414,-21.789473684210527,,411,finessed%23demon
0ba244b7-3542-4b1d-a253-fd54aeaf61d3,/Game/Maps/Canyon/Canyon,victory,2044,22,13,9,0,1,7156,25,16,4,4765,3049,18,7.0,23.0,17.0,4.0,19,50,3,88,0,0,1,1,3,6,5,,77.0,0,0,,,,,,0,0,,3.0,1,0,1.5625,325.27272727272725,216.5909090909091,26.38888888888889,1716,78.0,,895,finessed%23demon
